job_id,simplified_skills
1009113062180,data mining
1009113062180,sql
1009113062180,tableau
1008923350456,data science
1008923350456,tableau
1008923350456,database building and management
1008923350456,data mining
1008923350456,data analytics
1009014626152,data analysis
1009014626152,data mining
1009014626152,data modeling
1009014626152,database building and management
1009014626152,data integrity and quality
1009014626152,data science
1009014626152,data visualization and reporting
1009014626152,database building and management
1009014626152,database building and management
1009014626152,database building and management
1009014626152,sql
1009014626152,sql
1009014626152,excel
1009014626152,power bi
1009014626152,database building and management
1009102280932,data analysis
1009102280932,database building and management
1009102280932,excel
1009102280932,sql
1009102280932,statistical analysis
1009102280932,python
1009102280932,r
1009129735939,sql
1009129735939,excel
1009129735939,tableau
1009129735939,power bi
1009129735939,data modeling
1009129735939,database building and management
1009128149330,data analysis
1009129819303,sql
1009129819303,data analysis
1009129819303,excel
1009126226776,data governance
1009126226776,database building and management
1009126226776,data analysis
1009126226776,database building and management
1009126226776,data integrity and quality
1009126226776,excel
1009126226776,powerpoint
1009126226776,ms word
1009126226776,power bi
1009129883189,spss/sas
1009129883189,power bi
1009129883189,data science
1009129883189,data analytics
1009129730753,sql
1009129730753,data modeling
1009129730753,database building and management
1009129730753,excel
1009129730753,tableau
1009129730753,power bi
1009129849035,data modeling
1009129849035,database building and management
1009129849035,sql
1009129849035,tableau
1009129849035,power bi
1009129849035,excel
1009129849035,data analysis
1009129721033,data analysis
1009129769648,data analysis
1009129769648,data modeling
1009129769648,data analytics
1009129769648,data integrity and quality
1009129769648,sql
1009129376133,power bi
1009129376133,tableau
1009129376133,data visualization and reporting
1009120275587,excel
1009128462737,sql
1009128462737,power bi
1009128462737,excel
1009128462737,data modeling
1009128462737,data visualization and reporting
1009122764158,data analysis
1009122764158,data analysis
1009122764158,data analysis
1009122764158,power bi
1009122764158,aws
1009122764158,sql
1009122764158,python
1009122764158,r
1009122764158,javascript
1009128043446,data analysis
1009128043446,data visualization and reporting
1009128043446,database building and management
1009128043446,database building and management
1009128043446,database building and management
1009128043446,data analytics
1009128043446,communication
1009128043446,data visualization and reporting
1009128043446,communication
1009128043446,data visualization and reporting
1009128043446,r
1009128043446,spss/sas
1009128043446,tableau
1009128043446,statistical analysis
1009128043446,data analysis
1009128043446,data science
1009128043446,excel
1009128043446,javascript
1009128043446,python
1009128043446,spss/sas
1009128043446,data visualization and reporting
1009128043446,database building and management
1009124838813,data analytics
1009124838813,database building and management
1009124838813,data visualization and reporting
1009124838813,data governance
1009124838813,data visualization and reporting
1009124838813,sql
1009097900478,sql
1009097900478,power bi
1009097900478,database building and management
1009097900478,data manipulation
1009097900478,etl
1009097900478,data analysis
1009097900478,data analysis
1009097900478,statistical analysis
1009097900478,data analytics
1009097900478,data visualization and reporting
1009097900478,ms word
1009097900478,excel
1009097900478,database building and management
1009128289361,data analysis
1009128289361,sql
1009124704978,database building and management
1009124704978,data analytics
1009124704978,sql
1009124704978,data governance
1009128295854,sql
1009128295854,data analysis
1009063617771,data analysis
1009104789545,data analytics
1009104789545,business intelligence
1009104789545,sql
1009104789545,data visualization and reporting
1009104789545,data mining
1009068478852,data modeling
1009068478852,power bi
1009068478852,data visualization and reporting
1009124546654,data analytics
1009124546654,sql
1009124546654,statistical analysis
1009124546654,tableau
1009124546654,power bi
1009114896462,database building and management
1009114896462,database building and management
1009114896462,database building and management
1009093618237,data analytics
1009093618237,excel
1009093618237,ms word
1009093618237,powerpoint
1009107828533,data analysis
1009107828533,business intelligence
1009107828533,sql
1009107828533,sql
1009107828533,sql
1009107828533,power bi
1009107828533,sharepoint
1009107828533,excel
1009107828533,powerpoint
1009107828533,ms word
1009113692177,sql
1009113692177,r
1009113692177,spss/sas
1009113692177,python
1009113692177,statistical analysis
1009128535602,data analysis
1009128535602,etl
1009128535602,data integrity and quality
1009128535602,etl
1009128535602,etl
1009128535602,database building and management
1009128535602,data visualization and reporting
1009128535602,statistical analysis
1009128535602,tableau
1009128535602,power bi
1009128535602,business intelligence
1009128535602,power bi
1009128535602,spss/sas
1009128535602,python
1009128535602,r
1009129715881,data modeling
1009129715881,database building and management
1009129715881,sql
1009129715881,excel
1009129715881,tableau
1009129715881,power bi
1009129188914,data analysis
1009129188914,data visualization and reporting
1009129188914,sql
1009129188914,data visualization and reporting
1009129188914,aws
1009129188914,etl
1009129188914,excel
1009129188914,python
1009107080176,sql
1009107080176,sql
1009107080176,database building and management
1009107080176,data modeling
1009107080176,data modeling
